index,division,district,pac,nac,const
482,,,PS-64 Hyderabad-III,NA-220 (Hyderabad-II),NA-220
484,,,PS-66 Hyderabad-V,NA-221 (Hyderabad-III),NA-221
486,,Tando Muhammad Khan,PS-68 Tando Muhammad Khan-I,NA-222 (Tando Muhammad Khan),NA-222
488,,Jamshoro,PS-80 Jamshoro-I,NA-227 (Jamshoro),NA-227
491,,Dadu,PS-83 Dadu-I,NA-228 (Dadu-I),NA-228
493,,,PS-85 Dadu-III,NA-229 (Dadu-II),NA-229
495,Bhanbore,Badin,PS-70 Badin-I,NA-223 (Badin-I),NA-223
498,,,,NA-224 (Badin-II),NA-224
501,,Sujawal,PS-75 Sujawal-I,NA-225 (Sujawal),NA-225
503,,Thatta,PS-77 Thatta-I,NA-226 (Thatta),NA-226
506,Karachi,Malir,PS-87 Malir-I,NA-230 (Malir-I),NA-230
508,,,PS-89 Malir-III,NA-231 (Malir-II),NA-231
510,,,PS-91 Malir-V,NA-232 (Malir-III),NA-232
511,,Korangi,PS-92 Korangi Karachi-I,NA-233 (Korangi Karachi-I),NA-233
513,,,PS-94 Korangi Karachi-III,NA-234 (Korangi Karachi-II),NA-234
516,,,PS-97 Korangi Karachi-VI,NA-235 (Korangi Karachi-III),NA-235
518,,Karachi East,PS-99 Karachi East-I,NA-236 (Karachi East-I),NA-236
520,,,PS-101 Karachi East-III,NA-237 (Karachi East-II),NA-237
522,,,PS-103 Karachi East-V,NA-238 (Karachi East-III),NA-238
524,,,PS-105 Karachi East-VII,NA-239 (Karachi East-IV),NA-239
526,,Karachi South,PS-107 Karachi South-I,NA-240 (Karachi South-I),NA-240
529,,,PS-110 Karachi South-IV,NA-241 (Karachi South-II),NA-241
531,,Keamari,PS-112 Keamari-I,NA-242 (Keamari-I),NA-242
534,,,,NA-243 (Keamari-II),NA-243
537,,Karachi West,PS-117 Karachi West-I,NA-244 (Karachi West-I),NA-244
539,,,PS-119 Karachi West-III,NA-245 (Karachi West-II),NA-245
541,,,PS-121 Karachi West-V,NA-246 (Karachi West-III),NA-246
543,,Karachi Central,PS-123 Karachi Central-I,NA-247 (Karachi Central-I),NA-247
545,,,PS-125 Karachi Central-III,NA-248 (Karachi Central-II),NA-248
547,,,PS-127 Karachi Central-V,NA-249 (Karachi Central-III),NA-249
549,,,PS-129 Karachi Central-VII,NA-250 (Karachi Central-IV),NA-250
552,Zhob,Sherani,PB-1 Sherani Cum Zhob,NA-251 (Killa Saifullah-cum-Zhob-cum-Sherani),NA-251
556,Loralai,Musakhel,PB-4 Musakhel cum Barkhan,NA-252 (Loralai-cum-Musakhel-cum-Duki-cum-Barkhan),NA-252
560,Sibi,Harnai,PB-7 (Ziarat cum Harnai),NA-253 (Harnai-cum-Sibbi-cum-Kohlu-cum-Dera Bugti),NA-253
564,Nasirabad,Jhal Magsi,PB-11 Jhal Magsi,NA-254 (Nasirabad-cum-Kachhi-cum-Jhal Magsi),NA-254
568,,Sohbatpur,PB-15 Sohbatpur,NA-255 (Jafarabad-cum-Sohbatpur),NA-255
571,Makran,Gwadar,PB-24 Gwadar,NA-258 (Gwadar-cum-Kech),NA-258
574,,,PB-27 Kech-III,NA-259 (Panjgur-cum-Kech),NA-259
577,Kalat,Khuzdar,PB-18 Khuzdar-I,NA-256 (Khuzdar),NA-256
580,,Hub,PB-21 Hub,NA-257 (Awaran-cum-Lasbela),NA-257
583,,Surab,PB-34 Surab,NA-261 (Mastung-cum-Surab-cum-Kalat),NA-261
586,Rakhshan,Washuk,PB-29 Washuk,NA-260 (Chagai-cum-Nushki-cum-Kharan-cum-Washuk),NA-260
590,Quetta,Quetta,PB-37 Quetta-I,NA-262 (Quetta-I),NA-262
593,,,PB-42 Quetta-VI,NA-263 (Quetta-II),NA-263
596,,,PB-40 Quetta-IV,NA-264 (Quetta-III),NA-264
599,,Ziarat,PB-7 Ziarat cum Harnai,NA-265 (Ziarat-cum-Pishin),NA-265
603,,Killa Abdullah,PB-49 Killa Abdullah,NA-266 (Killa Abdullah-cum-Chaman),NA-266
